Welsh word,English meaning,Part of speech,Plural
digon,enough,,
digwydd,"to happen, to occur",,
dillad,clothes,,
dilledyn,a garment,(gwr.),
dim,zero,,
dim byd,nothing,,
dim ond,only,,
dinas,a city,(ben.),dinasoedd
diod,a drink,(ben.),diodydd
diog,lazy,,
diolch,thanks,,
di-waith,unemployed,,
diwedd,end,(gwr.),
diwetha,last,,
diwrnod,a day,(gwr.),diwrnodau
dod,to come,,
dolur gwddw,sore throat,(gwr.),
dosbarth,a class,(gwr.),
drama,a play,(ben.),dramâu
dringo,to climb,,
dros (+ Treiglad Meddal),over,,
drud,expensive,,
drwg,bad,,
drws,a door,(gwr.),drysau
dŵad,to come,,
dweud,to say,,
dŵr,water,(gwr.),
dwyn,to steal,,
dwyrain,east,(gwr.),
dydd Calan,New Year’s Day,,
dydd Gwener,Friday,,
dydd Gŵyl Dewi,Saint David’s Day,,
dydd Iau,Thursday,,
dydd Llun,Monday,,
dydd Mawrth,Tuesday,,
dydd Mercher,Wednesdasy,,
dydd Nadolig,Christmas Day,,
dydd Sadwrn,Saturday,,
dydd Sul,Sunday,,
dydd,a day,(gwr.),dyddiau
dyfalu,to guess,,
dyma,"here is, this is",,
dymuno,to wish,,
dyn,a man,(gwr.),dynion
dyna,there is,,
dyna drueni!,what a pity!,,
dyna pam,that’s why,,
dynes,woman,(ben.),
dysgu,to teach,,
ddoe,yesterday,,
ebost,email,(gwr.),ebyst
echdoe,the day before yesterday,,
edrych ar,"to watch, to look at",,
efo,with,,
eglwys,a church,(ben.),
eglwysi,churches,,
eira,snow,(gwr.),
eisiau,to want,,
eistedd,to sit,,
eitha,"fairly, quite",,
ella,perhaps,,
ennill,to win,,
enw,a name,(gwr.),enwau
enwog,famous,,
er,although,,
erioed,never,,
ers,since,,
ers talwm,a long time ago,,
eryr,an eagle,(gwr.),eryrod
esgid,a shoe,(ben.),
esgusodi,to excuse,,
eto,again,,
ewythr,an uncle,(gwr.),
faint,"how much, how many",,
fel,"as, like",,
fel arfer,usually,,
felly,"so, thus",,
fi,me,,
fideo,a video,(gwr.),fideos
finegr,vinegar,(gwr.),
ffair,a fair,(ben.),ffeiriau
ffatri,a factory,(ben.),
ffeindio,to find,,
ffeil,a file,(ben.),ffeiliau
ffenest,a window,(ben.),
ffermio,to farm,,
ffermwr,a farmer,(gwr.),
fferyllfa,a pharmacy,(ben.),
ffigwr,a figure,(gwr.),ffigyrau
ffilm,a film,(ben.),ffilmiau
ffisig,medicine,(gwr.),
fflat,a flat,(ben.),fflatiau
ffôn,a phone,(gwr.),ffonau
ffôn symudol,mobile phone,,
ffonio,to phone,,
ffordd,"a way, a road",(ben.),
ffrind,a friend,(gwr.),ffrindiau
ffrwyth,a fruit,(gwr.),ffrwythau
ffurflen,a form,(ben.),ffurflenni
ffyrdd,"ways, roads",,
gadael,to leave,,
gaeaf,winter,(gwr.),
gair,a word,(gwr.),geiriau
galw,to call,,
gallu,"to be able to, can (bôn: gall- ) (De",,
gan,"by, from",,
gardd,a garden,(ben.),gerddi
garddio,to garden,,
garddwr,a gardener,(gwr.),
garej,a garage,(ben.),garejis
geiriadur,a dictionary,(gwr.),
geiriau,words,,
gêm,a game,(ben.),gemau
gerddi,gardens,,
glanhau,to clean,,
glaw,rain,(gwr.),
go lew,"pretty good, middling (Gogledd",,
gobaith,hope,(gwr.),
gobeithio,to hope,,
gofalus,careful,,
gofyn,to ask,,
gogledd,north,(gwr.),
golau,a light,(gwr.),goleuadau
golchi,to wash,,
goleuadau traffig,traffic lights,,
golff,golf,(gwr.),
gorau,best,,
gorfod,to have to,,
gorffen,"to finish, to end",,
goriad,a key,(gwr.),goriadau
gorllewin,west,(gwr.),
gormod,too much,,
gorsaf,a station,(ben.),
gwaith,work,(gwr.),gweithiau
gwallt,hair,(ll.),
gwan,weak,,
gwanwyn,spring,(gwr.),
gwario,to spend,,
gwasanaeth,a service,(gwr.),
gwasanaethau,services,,
gweddol,so-so,,
gwefan,a website,(ben.),
gweithio,to work,,
gweithiwr,a worker,(gwr.),
gweld,to see,,
gwely,a bed,(gwr.),gwelyau
gwell,better,,
gwenu,to smile,,
gwers,a lesson,(ben.),
gwerth,"worth, value",(gwr.),
gwerthu,to sell,,
gwesty,a hotel,(gwr.),
gwin,wine,(gwr.),gwinoedd
gwir,truth,(gwr.),
gwir neu gau,true or false,,
gwirion,daft,,
gwisgo,"to dress, to wear (bôn:",,
gwlad,a country,(ben.),
Gwlad yr Iâ,Iceland,,
gwleidydd,a politician,(gwr.),
gwleidyddion,politicians,,
gwlyb,wet,,
gwneud,"to do, to make",,
gwobr,a prize,(ben.),
gŵr,"a husband, a man",(gwr.),
gŵr tŷ,a house husband,(gwr.),
gwraig,"a wife, a woman",(ben.),
gwragedd,"wives, women",,
gwraig tŷ,housewife,,
gwrando ar,to listen to (bôn:,,
gwreiddiol,original,,
gwybod,to know,,
gŵyl,"a festival, a holiday",(ben.),
gwyliau,"festivals, holidays",,
gwylio,to watch,,
gwyn,white,,
gwynt,wind,(gwr.),
gwyntog,windy,,
gyda,with,,
gyda’r nos,in the evening,,
gyferbyn (+ â),opposite,,
gyrru,to drive,,
gyrrwr,a driver,(gwr.),
haf,summer,(gwr.),hafau
halen,salt,(gwr.),
ham,ham,(gwr.),
hanes,history,(gwr.),
hanner,a half,(gwr.),haneri
hapus,happy,,
haul,a sun,(gwr.),
hawdd,easy,,
heb (+ Treiglad Meddal),without,,
hedfan,to fly,,
heddiw,today,(gwr.),
heddlu,police,(gwr.),
hefyd,"also, too",,
hel,to collect (bôn: heli- ) (Gogledd,,
help,help,(gwr.),
helpu,to help,,
hen,old,,
hen bethau,antiques,,
heno,tonight,,
het,a hat,(ben.),hetiau
heulog,sunny,,
hir,long,,
hoci,hockey,(gwr.),
hoff,favourite,,
hoffi,to like,,
hogan,"a girl, a lass",(ben.),genod
hogyn,"a boy, a lad",(gwr.),hogiau
hufen,cream,(gwr.),
hufen iâ,ice cream,(gwr.),
hwyl,fun,(ben.),
hwyl,good-bye,,
hwyr,late,,
hydref,autumn,(gwr.),
hyfryd,"nice, pleasant",,
hyn,this,,
hynny,that,,
hysbyseb,an advertisement,(ben.),
hysbysebion,advertisements,,
i (+ Treiglad Meddal),to,,
i fyny,"up, upward",,
i ffwrdd,away,,
i gyd,all,,
i lawr,"down, downward",,
i mewn,in,,
iâ,ice,,
iawn,"OK, very",,
iechyd,health,(gwr.),
ifanc,young,,
isio,to want,,
jam,jam,(gwr.),jamiau
joio,to enjoy,,
ledled,throughout,,
lemon,a lemon,(gwr.),
lico,to like,,
licio,to like,,
lifft,a lift,(gwr.),lifftiau
lolfa,a lounge,(ben.),
lôn,a lane,(ben.),lonydd
lwc,luck,(ben.),
lwcus,lucky,,
llaeth,milk,(gwr.),
llais,a voice,(gwr.),lleisiau
llaw,a hand,(ben.),dwylo
llawen,"happy, merry",,
llawer,a lot,,
llawn,full,,
llawr,a floor,(gwr.),lloriau
lle,a place,(gwr.),lleoedd
lle?,where?,,
lled,width,(gwr.),
llen,a curtain,(ben.),llenni
llenwi,to fill,,
llestr,a dish,(gwr.),llestri
llinell,a line,(ben.),llinellau
lliw,a colour,(gwr.),lliwiau
lliw haul,a suntan,(gwr.),
llong,a ship,(ben.),llongau
llond ceg,a mouthful,(gwr.),
llongyfarchiadau,congratulations,,
llun,a picture,(gwr.),lluniau
llwnc,a throat,(gwr.),
llyfr,a book,(gwr.),llyfrau
llyfrgell,a library,(ben.),
llyfrgellydd,a librarian,(gwr.),
llygad,an eye,(gwr.),llygaid
llynedd,last year,,
llysfab,a stepson,(gwr.),
llysferch,a step daughter,(ben.),
ferched,step daughters,,
llysiau,vegetables,,
llythyr,a letter,(gwr.),llythyrau
mas,out,,
mab,a son,(gwr.),meibion
mabwysiadu,to adopt (bôn:,,
maes,a field,(gwr.),meysydd
maes parcio,car park,(gwr.),
mam,a mother,(ben.),
mam faeth,a foster mother,(ben.),
mamau maeth,foster mothers,,
mam-gu,a grandmother,(ben.),
mam-guod,grandmothers,,
mam-yng-nghyfraith,mother-in-law,(ben.),
maneg,a glove,(ben.),menig
manylion,details,,
marchnad,a market,(ben.),
marchnadoedd,markets,,
mawr,big,,
math,"a kind, a type",(gwr.),
mêc,a make,(gwr.),mêcs
medru,"to be able to, can",,
meddwl,to think,,
meddyg,a doctor,(gwr.),
meddygfa,a doctor’s surgery,(ben.),
meddygfeydd,doctors’ surgeries,,
mefus,strawberries,,
mefusen,a strawberry,(ben.),
meibion,sons,,
meindio,to mind,,
mêl,honey,(gwr.),
melysion,sweets,,
menig,gloves,,
menyn,butter,(gwr.),
menyw,a woman,(ben.),
merch,"a girl, a daughter",(ben.),
merched,"girls, daughters",,
methu,to fail,,
mewn,in a,,
mewn pryd,in time,,
mil,a thousand,(ben.),
miliwn,a million,(ben.),miliynau
mis,a month,(gwr.),misoedd
mis mêl,a honeymoon,(gwr.),
mêl,honeymoons,,
modryb,an aunt,(ben.),
moddion,medicine,,
môr,a sea,(gwr.),moroedd
moron,carrots,,
